Latitude	Longitude	Location	Municipality	Type	Year	Count
49.282112	-123.13601	BURNABY ST & JERVIS ST	VANCOUVER	Casualty	2019	2
49.282119	-123.110956	HAMILTON ST & W PENDER ST	VANCOUVER	Casualty	2019	1
49.282205	-123.095366	DUNLEVY AVE & E CORDOVA ST	VANCOUVER	Casualty	2019	3
49.282209	-123.072638	FRANKLIN ST & WOODLAND DR	VANCOUVER	Casualty	2019	2
49.282288	-123.09963	E CORDOVA ST & MAIN ST	VANCOUVER	Casualty	2019	8
49.282365	-123.140722	BEACH AVE & NICOLA ST	VANCOUVER	Casualty	2019	1
49.282367	-123.114455	DUNSMUIR ST & RICHARDS ST	VANCOUVER	Casualty	2019	3
49.282555	-123.109609	CAMBIE ST & W HASTINGS ST	VANCOUVER	Casualty	2019	8
49.282643	-123.12176	HORNBY ST & ROBSON ST	VANCOUVER	Casualty	2019	2
49.282878	-123.12507	SMITHE ST	VANCOUVER	Casualty	2018	1
49.282988	-123.05195	PANDORA ST & PENTICTON ST	VANCOUVER	Casualty	2019	1
49.282994	-123.054582	KAMLOOPS ST & PANDORA ST	VANCOUVER	Casualty	2019	1
49.282999	-123.089461	HEATLEY AVE & POWELL ST	VANCOUVER	Casualty	2019	1
49.283007	-123.059721	PANDORA ST & TEMPLETON DR	VANCOUVER	Casualty	2019	1
49.283132	-123.119153	HOWE ST & W GEORGIA ST	VANCOUVER	Casualty	2019	5
49.283157	-123.097714	GORE AVE & POWELL ST	VANCOUVER	Casualty	2019	6
49.283192	-123.09956	MAIN ST & POWELL ST	VANCOUVER	Casualty	2019	7
49.283238	-123.074053	MCLEAN DR & POWELL ST	VANCOUVER	Casualty	2019	2
49.283241	-123.102183	COLUMBIA ST & POWELL ST	VANCOUVER	Casualty	2019	1
49.283368	-123.104002	ALEXANDER ST & POWELL ST & WATER ST	VANCOUVER	Casualty	2019	1
49.283412	-123.110937	HOMER ST & W HASTINGS ST	VANCOUVER	Casualty	2019	4
49.283487	-123.072573	POWELL ST & WOODLAND DR	VANCOUVER	Casualty	2019	2
49.283519	-123.133885	JERVIS ST & PENDRELL ST	VANCOUVER	Casualty	2019	1
49.283633	-123.116387	DUNSMUIR ST & GRANVILLE ST	VANCOUVER	Casualty	2019	2
49.283711	-123.136303	BROUGHTON ST & DAVIE ST	VANCOUVER	Casualty	2019	4
49.283756	-123.120092	HORNBY ST & W GEORGIA ST	VANCOUVER	Casualty	2019	7
49.283895	-123.125911	HARO ST & THURLOW ST	VANCOUVER	Casualty	2019	5
49.283929	-123.065539	TRIUMPH ST & VICTORIA DR	VANCOUVER	Casualty	2019	1
49.283988	-123.093305	ALEXANDER ST & JACKSON AVE	VANCOUVER	Casualty	2019	1
49.284067	-123.097836	ALEXANDER ST & GORE AVE	VANCOUVER	Casualty	2019	1
49.284275	-123.117371	DUNSMUIR ST & HOWE ST	VANCOUVER	Casualty	2019	8
49.284409	-123.121096	BURRARD ST & W GEORGIA ST	VANCOUVER	Casualty	2019	22
49.284569	-123.142724	BEACH AVE & BIDWELL ST	VANCOUVER	Casualty	2019	1
49.284665	-123.112855	SEYMOUR ST & W HASTINGS ST	VANCOUVER	Casualty	2019	4
49.284708	-123.110918	RICHARDS ST & W CORDOVA ST & WATER ST	VANCOUVER	Casualty	2019	3
49.284722	-123.134761	BROUGHTON ST & JEPSON-YOUNG LANE	VANCOUVER	Casualty	2019	1
49.284791	-123.057767	DUNDAS ST & GARDEN DR & N GARDEN DR	VANCOUVER	Casualty	2019	4
49.284805	-123.059708	DUNDAS ST & N TEMPLETON DR & TEMPLETON DR	VANCOUVER	Casualty	2019	5
49.284806	-123.063552	DUNDAS ST & POWELL ST & SEMLIN DR & WALL ST	VANCOUVER	Casualty	2019	12
49.284833	-123.065509	POWELL ST & VICTORIA DR	VANCOUVER	Casualty	2019	8
49.284855	-123.099176	E WATERFRONT RD & MAIN ST	VANCOUVER	Casualty	2019	3
49.284897	-123.118345	DUNSMUIR ST & HORNBY ST	VANCOUVER	Casualty	2019	16
49.285312	-123.113845	GRANVILLE ST & W HASTINGS ST	VANCOUVER	Casualty	2019	3
49.285613	-123.130633	BARCLAY ST & JERVIS ST	VANCOUVER	Casualty	2019	1
49.285723	-123.123132	THURLOW ST & W GEORGIA ST	VANCOUVER	Casualty	2019	11
49.285973	-123.126958	BUTE ST & ROBSON ST	VANCOUVER	Casualty	2019	3
49.286429	-123.124231	W GEORGIA ST	VANCOUVER	Casualty	2018	1
49.286556	-123.117889	BURRARD ST & W PENDER ST	VANCOUVER	Casualty	2019	8
49.286609	-123.113865	HOWE ST & W CORDOVA ST	VANCOUVER	Casualty	2019	2
49.286634	-123.023416	CAMBRIDGE ST & N BOUNDARY RD	VANCOUVER	Casualty	2019	1
49.286911	-123.142346	BEACH AVE & DENMAN ST & PANTAGES LANE	VANCOUVER	Casualty	2019	5
49.287032	-123.031028	BRIDGEWAY & BRIDGEWAY OFFRAMP & CASSIAR CONN & E HASTINGS ST OFFRAMP & E HASTINGS ST ONRAMP & IRONWORKERS MEMORIAL BRIDGE & MCGILL ST & MCGILL ST OFFRAMP & MCGILL ST ONRAMP & TRANS-CANADA HWY & TURNING LANE	VANCOUVER	Casualty	2019	14
49.287135	-123.12533	BUTE ST & W GEORGIA ST	VANCOUVER	Casualty	2019	11
49.287173	-123.11696	BURRARD ST & W HASTINGS ST	VANCOUVER	Casualty	2019	9
49.28727	-123.141822	DAVIE ST & DENMAN ST	VANCOUVER	Casualty	2019	3
49.287572	-123.141361	DENMAN ST & MORTON AVE & SEE-EM-IA LANE	VANCOUVER	Casualty	2019	3
49.287728	-123.127469	ALBERNI ST & JERVIS ST	VANCOUVER	Casualty	2019	3
49.288136	-123.126873	JERVIS ST & W GEORGIA ST	VANCOUVER	Casualty	2019	10
